location,soil,water,budget,crop,duration_days,profit,demand,yield_per_acre
Bangalore,Good,High,50000,Tomato,90,45000,High,12000
Bangalore,Average,Medium,30000,Maize,120,30000,Medium,8000
Bangalore,Poor,Low,15000,Ragi,100,20000,Low,6000
Bangalore,Good,Medium,45000,Okra,80,36000,High,10000
Bangalore,Average,High,35000,Cabbage,70,32000,Medium,15000
Mysore,Good,High,40000,Chilli,80,42000,High,8000
Mysore,Average,Medium,25000,Onion,110,28000,Medium,12000
Mysore,Good,Low,30000,Pomegranate,180,52000,Medium,5000
Tumkur,Good,High,60000,Cabbage,70,50000,High,15000
Tumkur,Average,Medium,35000,Potato,100,32000,Medium,20000
Tumkur,Good,High,55000,Tomato,90,47000,High,12000
Mandya,Good,High,55000,Sugarcane,300,70000,High,80000
Mandya,Average,Medium,30000,Groundnut,110,35000,Medium,1500
Mandya,Good,Medium,50000,Banana,180,65000,High,20000
Hassan,Average,High,28000,Millet,90,26000,Medium,2000
Hassan,Poor,Low,18000,Sorghum,110,21000,Low,1800
Hassan,Good,Medium,42000,GreenGram,95,38000,High,1200
Hubli,Good,High,48000,Maize,120,46000,High,8000
Hubli,Average,Medium,32000,Tomato,90,36000,Medium,12000
Belgaum,Good,High,52000,Bajra,100,44000,Medium,2500
Belgaum,Average,Medium,31000,Chilli,80,33000,Medium,8000
Belgaum,Poor,Low,20000,Turmeric,150,28000,Medium,4000
